Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
279,Heuristico,3.5008692000001247,31,50,39
276,Heuristico,4.799965899999734,42,50,26
281,Rand,3.4294314000003396,6,44,70
282,MCTS,3.565834900000027,53,11,45
284,MCTS,3.377165600000353,63,26,28
285,MCTS,3.47182870000006,53,27,29
267,MCTS,6.938849300000129,59,44,6
273,MCTS,5.766805100000056,56,46,18
283,MCTS,4.312357499999962,66,29,25
289,MCTS,3.2575143999997636,51,41,18
280,Heuristico,5.394558999999845,28,71,18
293,Rand,3.8647413999997298,39,32,49
288,MCTS,5.152282099999866,56,24,30
294,MCTS,3.902215900000101,56,16,48
295,Heuristico,3.623764999999821,24,55,41
296,MCTS,3.545858500000122,62,34,13
275,MCTS,8.138731200000166,74,25,11
291,MCTS,4.713664600000357,91,12,17
298,Rand,3.2345029000002796,21,18,71
286,MCTS,6.058753799999977,91,6,23
301,Heuristico,3.3217783000000054,36,52,22
300,Heuristico,3.6553235999999742,34,58,17
269,MCTS,10.33243659999971,64,24,32
299,MCTS,3.9699909999999363,56,11,43
292,MCTS,5.407620099999804,63,19,38
297,MCTS,4.443436699999893,50,34,36
287,MCTS,7.07203249999975,56,39,21
306,Heuristico,3.304581800000051,51,52,17
302,MCTS,5.683841199999733,60,26,34
303,Heuristico,5.5161550000002535,34,83,0
311,MCTS,3.176435500000025,63,28,27
307,MCTS,3.5902531000001545,49,43,28
304,Heuristico,5.782503200000065,40,53,24
309,MCTS,3.811928099999932,58,51,11
305,MCTS,5.399216600000273,52,19,49
290,MCTS,8.510729900000115,69,41,0
314,MCTS,3.7899948999997832,88,14,18
310,Rand,3.9402343000001565,43,28,49
308,Rand,4.483228700000382,47,12,51
316,MCTS,3.716314599999805,84,12,21
317,MCTS,3.654271599999902,67,3,46
319,MCTS,3.4687637000001814,83,25,12
318,MCTS,4.311373999999887,64,27,26
313,MCTS,5.160234400000263,78,11,20
323,MCTS,3.9439652999999453,105,0,15
315,MCTS,5.48018779999984,66,30,24
312,MCTS,5.881416199999876,65,28,17
