Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
299,Rand,7.602077999999892,27,43,50
317,MCTS,3.4190880999999536,54,24,32
286,Heuristico,9.713413400000263,35,57,28
302,Heuristico,7.699990400000388,43,74,0
319,Heuristico,3.7858313000001544,42,51,27
321,Heuristico,3.5848315000002913,52,54,11
322,MCTS,3.384040599999935,62,2,46
314,Heuristico,5.559215200000381,39,46,35
325,Heuristico,3.1277181000000382,41,62,17
320,MCTS,4.38291369999979,78,36,6
323,MCTS,3.5487591000000975,45,39,26
262,MCTS,18.004158200000347,79,0,38
329,Heuristico,3.5492804000000433,31,87,0
324,MCTS,4.405029900000045,51,24,45
330,MCTS,3.266669399999955,65,25,30
318,Rand,6.14236179999989,36,23,61
326,Rand,4.767464500000187,0,52,65
313,MCTS,7.6765135000000555,90,16,14
328,Heuristico,5.024605600000086,0,90,30
327,MCTS,5.4727411000003485,70,27,13
337,MCTS,3.44251899999972,85,15,20
339,Heuristico,3.486606799999663,41,45,34
338,Heuristico,3.627678299999843,17,97,6
331,MCTS,4.8903107000001,55,38,27
342,MCTS,3.4527132000002894,55,35,28
341,MCTS,3.6282875000001695,52,16,49
332,Heuristico,5.115813399999752,25,58,37
343,Heuristico,3.6554902000002585,33,51,34
335,MCTS,5.213362299999972,59,24,33
333,MCTS,5.883150900000146,61,26,31
347,Heuristico,3.1147100000002865,28,50,40
340,MCTS,4.792873200000031,60,41,8
345,MCTS,3.4072707000000264,65,17,36
334,Heuristico,6.201201400000173,42,50,24
336,MCTS,5.69314519999989,52,43,25
346,MCTS,4.1300137000002906,88,29,0
350,MCTS,4.353250200000275,67,34,19
354,MCTS,3.0701312999999573,65,39,16
353,MCTS,3.5625082000001385,60,45,5
344,MCTS,5.437276299999667,65,36,17
355,MCTS,3.4197894999997516,45,43,28
349,MCTS,5.154957000000195,61,11,48
348,MCTS,5.493461800000205,60,47,11
358,MCTS,3.7468775000002097,57,29,23
357,Heuristico,3.9110391999997773,42,50,18
352,MCTS,5.199090199999773,56,24,29
363,MCTS,3.276268000000073,77,32,11
365,MCTS,3.2751375999996526,62,37,18
366,MCTS,3.1324706000000333,53,39,28
351,MCTS,5.8918791000000965,63,0,53
356,MCTS,4.838571200000388,104,8,4
360,Rand,4.612990300000092,50,11,59
359,Heuristico,4.91488100000015,21,86,3
368,Heuristico,3.547252800000024,46,57,6
370,Heuristico,2.977741100000003,35,49,34
361,MCTS,5.391508700000031,54,44,22
369,Rand,3.244131699999798,48,17,53
371,MCTS,3.204242399999657,59,27,34
373,MCTS,3.360030899999856,43,40,37
364,Heuristico,5.4334985000000415,42,65,11
376,MCTS,3.1772338000000673,72,23,22
362,Heuristico,6.131431899999825,21,87,12
377,MCTS,3.1926220000000285,63,3,50
367,MCTS,5.598864200000207,79,24,17
381,MCTS,3.202072899999621,94,14,2
372,MCTS,4.653948799999853,54,40,16
384,MCTS,2.84631649999983,58,45,14
380,Heuristico,3.524541400000089,46,72,0
379,Heuristico,3.666441400000167,50,70,0
375,Heuristico,4.538058999999976,11,65,44
389,MCTS,3.1764899999998306,58,35,23
390,MCTS,2.9314164000002165,66,8,46
386,MCTS,3.8591068000000632,87,30,3
387,MCTS,3.7884170000002086,92,25,3
378,Heuristico,5.653843000000052,52,65,3
382,MCTS,5.918104999999741,54,41,14
383,MCTS,5.7476550999999745,53,20,45
395,MCTS,3.3998569000000316,66,25,29
388,Rand,4.949268800000027,19,36,62
393,MCTS,3.7414330999999947,46,43,31
397,MCTS,3.343110599999818,54,25,41
399,MCTS,3.112431999999899,48,47,25
391,Heuristico,4.526715899999999,53,65,0
374,MCTS,7.710846099999799,71,23,16
400,MCTS,3.6324122999999418,53,39,26
394,MCTS,4.661592800000108,58,16,43
398,MCTS,4.135195400000157,52,50,18
396,MCTS,4.798027199999979,47,17,46
401,Heuristico,4.384445799999867,21,85,14
