c,iteraciones,seed,duration,P_MCTS,P_Rand,victory
0.5,500,596,2.8303582000007736,103,13,1
0.5,500,610,2.2341090999980224,60,57,1
0.5,500,606,2.5179337000008672,74,46,1
0.5,500,613,2.1744671000014932,94,16,1
0.5,500,602,2.7701142000005348,59,61,0
0.5,500,603,2.8619686999991245,98,22,1
0.5,500,612,2.56263399999807,110,10,1
0.5,500,604,2.962831199998618,101,13,1
0.5,500,611,2.670884899998782,67,53,1
0.5,500,615,1.9694426999994903,93,27,1
0.5,500,618,1.7956669999985024,52,68,0
0.5,500,614,2.4119840000021213,67,40,1
0.5,500,616,2.240227900001628,103,17,1
0.5,500,617,2.318581499999709,79,41,1
0.5,500,626,1.7405478000000585,89,31,1
0.5,500,621,2.0506453000016336,114,6,1
0.5,500,619,2.15190530000109,106,14,1
0.5,500,620,2.2849595000006957,98,22,1
0.5,500,627,1.9897760999992897,94,24,1
0.5,500,624,2.13383149999936,80,30,1
0.5,500,630,1.8942654000020411,90,26,1
0.5,500,628,2.1285449000024528,96,14,1
0.5,500,633,2.2947658999983105,118,2,1
0.5,500,622,3.1911959999997634,91,29,1
0.5,500,623,3.254034600002342,88,29,1
0.5,500,638,1.9253215999997337,90,27,1
0.5,500,629,3.0090428999974392,89,29,1
0.5,500,636,2.135996900000464,101,19,1
0.5,500,625,3.4176078000018606,83,34,1
0.5,500,637,2.1955230999992636,82,35,1
0.5,500,640,1.7780162000017299,80,37,1
0.5,500,641,1.8504169000007096,92,17,1
0.5,500,634,3.0474409999987984,83,30,1
0.5,500,639,2.217605800000456,89,21,1
0.5,500,631,3.3816533999997773,101,19,1
0.5,500,635,3.0579545999971742,108,12,1
0.5,500,632,3.5983606000008876,60,50,1
0.5,1000,1092,2.424867199999426,60,46,1
0.5,1000,1093,2.6776352999986557,47,68,0
0.5,1000,1095,2.6284430000014254,107,2,1
0.5,1000,1094,2.8256263000002946,62,47,1
0.5,1000,1096,2.901355000001786,66,54,1
0.5,1000,1098,2.859670300000289,55,54,1
0.5,1000,1097,3.2364283999995678,107,13,1
0.5,1000,1099,2.675105300000723,77,40,1
0.5,1000,1102,2.811658800001169,74,35,1
0.5,1000,1108,2.423962599998049,82,27,1
0.5,1000,1104,2.836240300002828,82,38,1
0.5,1000,1106,2.771366400000261,83,31,1
0.5,1000,1107,2.933472400000028,56,54,1
0.5,1000,1110,2.7196865000005346,91,27,1
0.5,1000,1100,3.7181429999982356,85,35,1
0.5,1000,1114,2.521345300003304,75,45,1
0.5,1000,1103,3.595404800002143,80,30,1
0.5,1000,1115,2.403502799999842,88,22,1
0.5,1000,1113,2.8811365000001388,84,25,1
0.5,1000,1105,3.5869854999982635,78,38,1
0.5,1000,1116,2.3768029999991995,69,40,1
0.5,1000,1109,3.717002599998523,61,59,1
0.5,1000,1111,3.6857182000021567,57,42,1
0.5,1000,1112,3.804119399999763,73,47,1
0.5,1000,1117,2.983356900000217,98,12,1
0.5,1000,1120,2.6633407000008447,37,79,0
0.5,1000,1118,3.087814700000308,110,6,1
0.5,1000,1121,2.6863627000020642,77,39,1
0.5,1000,1122,2.4762367000002996,88,32,1
0.5,1000,1119,3.496360099998128,88,21,1
0.5,1000,1123,2.7546921000030125,84,25,1
0.5,1000,1126,2.438716900000145,113,3,1
0.5,1000,1127,2.4987374000011187,86,23,1
0.5,1000,1125,2.779592099999718,89,29,1
0.5,1000,1124,2.9113144999973883,53,56,0
0.5,1000,1129,2.506803000000218,40,69,0
0.5,1000,1101,6.051771499998722,88,18,1
0.5,1000,1131,2.486579000000347,69,51,1
1.0,100,242,0.9122773999988567,106,3,1
0.5,1000,1134,2.4001786000007996,72,46,1
1.0,100,243,0.9607908999969368,80,33,1
1.0,100,245,0.8836525000006077,90,18,1
1.0,100,244,0.9080463999998756,84,32,1
0.5,1000,1132,2.883579600002122,95,22,1
1.0,100,246,0.9950498999969568,95,15,1
1.0,100,248,1.0778647000006458,102,16,1
1.0,100,249,0.92518790000031,77,28,1
1.0,100,247,1.207236300000659,99,17,1
1.0,100,252,0.918066700000054,78,39,1
1.0,100,251,1.0040817000008246,90,19,1
1.0,100,253,0.9358262999994622,68,52,1
0.5,1000,1133,3.5489430999987235,74,46,1
1.0,100,254,1.0327560000005178,90,25,1
1.0,100,255,1.0008079999970505,116,4,1
1.0,100,256,0.9995237999974051,66,40,1
0.5,1000,1128,4.0562883999991755,92,28,1
1.0,100,250,1.4909086000006937,91,25,1
0.5,1000,1139,2.8256299999993644,49,60,0
