matchup,seed,winner,points_DNN,points_Aleatorio,turns
DNN_vs_Aleatorio,397,Aleatorio,48,61,39
DNN_vs_Aleatorio,400,DNN,59,50,38
DNN_vs_Aleatorio,398,DNN,74,46,38
DNN_vs_Aleatorio,401,Aleatorio,58,58,38
DNN_vs_Aleatorio,399,Aleatorio,55,60,38
DNN_vs_Aleatorio,402,Aleatorio,32,78,38
DNN_vs_Aleatorio,403,Aleatorio,22,98,39
DNN_vs_Aleatorio,404,DNN,101,19,39
DNN_vs_Aleatorio,405,DNN,61,44,39
DNN_vs_Aleatorio,407,DNN,66,54,39
DNN_vs_Aleatorio,406,DNN,102,18,39
DNN_vs_Aleatorio,410,Aleatorio,39,77,38
DNN_vs_Aleatorio,409,DNN,61,45,39
DNN_vs_Aleatorio,408,DNN,70,45,38
DNN_vs_Aleatorio,411,Aleatorio,57,63,39
DNN_vs_Aleatorio,413,Aleatorio,41,79,39
DNN_vs_Aleatorio,412,DNN,95,22,39
DNN_vs_Aleatorio,415,Aleatorio,47,63,39
DNN_vs_Aleatorio,414,Aleatorio,55,62,39
DNN_vs_Aleatorio,416,Aleatorio,28,92,38
DNN_vs_Aleatorio,418,DNN,94,23,39
DNN_vs_Aleatorio,417,Aleatorio,49,71,39
DNN_vs_Aleatorio,419,DNN,75,45,39
DNN_vs_Aleatorio,420,DNN,85,31,39
DNN_vs_Aleatorio,423,DNN,102,18,38
DNN_vs_Aleatorio,421,Aleatorio,46,71,39
DNN_vs_Aleatorio,422,DNN,77,43,38
DNN_vs_Aleatorio,424,Aleatorio,51,67,39
DNN_vs_Aleatorio,425,Aleatorio,57,63,39
DNN_vs_Aleatorio,426,DNN,102,18,39
DNN_vs_Aleatorio,427,Aleatorio,53,59,39
DNN_vs_Aleatorio,428,Aleatorio,42,58,39
DNN_vs_Aleatorio,430,DNN,71,39,38
DNN_vs_Aleatorio,429,Aleatorio,55,65,38
DNN_vs_Aleatorio,431,DNN,76,42,38
DNN_vs_Aleatorio,432,DNN,62,54,38
DNN_vs_Aleatorio,433,DNN,60,47,38
DNN_vs_Aleatorio,436,DNN,69,51,38
DNN_vs_Aleatorio,435,Aleatorio,53,67,39
DNN_vs_Aleatorio,434,DNN,86,29,39
DNN_vs_Aleatorio,438,Aleatorio,51,66,39
DNN_vs_Aleatorio,437,DNN,76,29,39
DNN_vs_Aleatorio,439,Aleatorio,21,95,39
DNN_vs_Aleatorio,440,DNN,67,53,38
DNN_vs_Aleatorio,441,DNN,62,55,38
DNN_vs_Aleatorio,442,DNN,99,21,39
DNN_vs_Aleatorio,443,Aleatorio,46,71,38
DNN_vs_Aleatorio,444,Aleatorio,49,60,38
DNN_vs_Aleatorio,445,DNN,93,27,38
DNN_vs_Aleatorio,446,Aleatorio,57,60,38
DNN_vs_Aleatorio,447,DNN,58,52,39
DNN_vs_Aleatorio,448,DNN,76,44,38
DNN_vs_Aleatorio,449,DNN,68,48,38
DNN_vs_Aleatorio,453,Aleatorio,52,65,39
DNN_vs_Aleatorio,451,DNN,70,47,38
DNN_vs_Aleatorio,450,DNN,115,2,39
DNN_vs_Aleatorio,452,DNN,89,28,38
DNN_vs_Aleatorio,454,DNN,70,39,38
DNN_vs_Aleatorio,455,Aleatorio,26,94,39
DNN_vs_Aleatorio,456,DNN,56,51,38
DNN_vs_Aleatorio,458,DNN,70,48,38
DNN_vs_Aleatorio,461,DNN,80,37,38
DNN_vs_Aleatorio,457,Aleatorio,51,55,39
DNN_vs_Aleatorio,460,Aleatorio,51,59,39
DNN_vs_Aleatorio,462,DNN,77,43,39
DNN_vs_Aleatorio,459,DNN,62,58,39
DNN_vs_Aleatorio,464,DNN,72,44,38
DNN_vs_Aleatorio,463,Aleatorio,43,72,39
DNN_vs_Aleatorio,465,DNN,80,30,38
DNN_vs_Aleatorio,466,Aleatorio,51,69,38
DNN_vs_Aleatorio,467,DNN,79,41,39
DNN_vs_Aleatorio,468,DNN,75,35,39
DNN_vs_Aleatorio,469,Aleatorio,37,81,39
DNN_vs_Aleatorio,471,DNN,61,48,39
DNN_vs_Aleatorio,472,DNN,99,16,38
DNN_vs_Aleatorio,470,Aleatorio,58,62,39
DNN_vs_Aleatorio,473,DNN,88,32,38
DNN_vs_Aleatorio,475,DNN,73,47,38
DNN_vs_Aleatorio,474,DNN,80,40,39
DNN_vs_Aleatorio,476,Aleatorio,40,67,39
DNN_vs_Aleatorio,477,DNN,72,45,38
DNN_vs_Aleatorio,480,Aleatorio,49,61,38
DNN_vs_Aleatorio,478,DNN,80,33,39
