matchup,seed,winner,points_DNN,points_MCTS,turns
DNN_vs_MCTS,254,DNN,61,59,39
DNN_vs_MCTS,252,MCTS,21,99,39
DNN_vs_MCTS,255,MCTS,56,64,38
DNN_vs_MCTS,248,MCTS,46,74,39
DNN_vs_MCTS,251,MCTS,27,91,39
DNN_vs_MCTS,253,MCTS,54,59,38
DNN_vs_MCTS,257,MCTS,24,96,39
DNN_vs_MCTS,258,MCTS,38,82,39
DNN_vs_MCTS,261,DNN,82,28,39
DNN_vs_MCTS,262,MCTS,54,54,39
DNN_vs_MCTS,259,MCTS,40,80,39
DNN_vs_MCTS,260,MCTS,29,89,39
DNN_vs_MCTS,256,MCTS,55,65,39
DNN_vs_MCTS,263,DNN,61,48,39
DNN_vs_MCTS,264,MCTS,24,94,39
DNN_vs_MCTS,265,MCTS,40,70,39
DNN_vs_MCTS,267,DNN,56,53,38
DNN_vs_MCTS,268,MCTS,40,76,39
DNN_vs_MCTS,266,MCTS,33,85,39
DNN_vs_MCTS,270,MCTS,40,80,39
DNN_vs_MCTS,272,MCTS,37,80,39
DNN_vs_MCTS,274,MCTS,30,68,38
DNN_vs_MCTS,276,MCTS,33,77,38
DNN_vs_MCTS,271,DNN,57,53,38
DNN_vs_MCTS,269,MCTS,31,89,38
DNN_vs_MCTS,273,MCTS,23,94,39
DNN_vs_MCTS,275,MCTS,22,96,38
DNN_vs_MCTS,277,DNN,65,45,38
DNN_vs_MCTS,278,MCTS,34,86,39
DNN_vs_MCTS,281,MCTS,19,101,39
DNN_vs_MCTS,279,MCTS,37,83,38
DNN_vs_MCTS,282,MCTS,46,72,39
DNN_vs_MCTS,284,MCTS,31,68,39
DNN_vs_MCTS,280,MCTS,36,84,39
DNN_vs_MCTS,283,MCTS,39,68,39
DNN_vs_MCTS,285,DNN,70,40,39
DNN_vs_MCTS,287,MCTS,29,80,39
DNN_vs_MCTS,289,MCTS,24,93,39
DNN_vs_MCTS,290,MCTS,28,87,39
DNN_vs_MCTS,286,MCTS,34,86,39
DNN_vs_MCTS,292,MCTS,23,87,39
DNN_vs_MCTS,291,MCTS,50,66,38
DNN_vs_MCTS,288,MCTS,53,63,38
DNN_vs_MCTS,294,MCTS,35,85,39
DNN_vs_MCTS,295,MCTS,40,80,39
DNN_vs_MCTS,293,DNN,81,36,39
DNN_vs_MCTS,299,MCTS,7,113,38
DNN_vs_MCTS,297,MCTS,53,63,39
DNN_vs_MCTS,298,MCTS,23,94,39
DNN_vs_MCTS,296,DNN,59,51,39
DNN_vs_MCTS,301,MCTS,38,82,39
DNN_vs_MCTS,302,MCTS,23,97,39
DNN_vs_MCTS,303,MCTS,20,98,38
DNN_vs_MCTS,300,MCTS,43,75,39
DNN_vs_MCTS,306,MCTS,16,91,38
DNN_vs_MCTS,305,MCTS,30,90,39
DNN_vs_MCTS,304,MCTS,25,95,38
DNN_vs_MCTS,307,MCTS,37,80,39
DNN_vs_MCTS,308,MCTS,39,81,38
DNN_vs_MCTS,311,DNN,70,50,39
DNN_vs_MCTS,309,MCTS,29,80,39
DNN_vs_MCTS,310,MCTS,38,80,39
DNN_vs_MCTS,313,MCTS,49,67,39
DNN_vs_MCTS,315,MCTS,43,73,38
DNN_vs_MCTS,314,MCTS,29,91,38
DNN_vs_MCTS,312,MCTS,56,61,39
DNN_vs_MCTS,316,MCTS,40,76,39
DNN_vs_MCTS,318,DNN,60,50,39
DNN_vs_MCTS,320,DNN,66,44,39
DNN_vs_MCTS,319,MCTS,43,66,39
DNN_vs_MCTS,317,MCTS,55,60,39
DNN_vs_MCTS,321,MCTS,50,59,39
DNN_vs_MCTS,322,MCTS,2,118,39
DNN_vs_MCTS,325,DNN,59,55,38
DNN_vs_MCTS,323,MCTS,40,74,39
DNN_vs_MCTS,327,MCTS,10,107,38
DNN_vs_MCTS,329,DNN,52,48,39
DNN_vs_MCTS,324,MCTS,35,85,38
DNN_vs_MCTS,328,DNN,81,39,39
DNN_vs_MCTS,326,MCTS,21,89,39
DNN_vs_MCTS,331,MCTS,21,97,39
DNN_vs_MCTS,332,DNN,64,51,38
DNN_vs_MCTS,330,MCTS,41,69,39
DNN_vs_MCTS,334,MCTS,34,76,39
DNN_vs_MCTS,333,MCTS,44,76,39
DNN_vs_MCTS,335,DNN,72,48,39
DNN_vs_MCTS,340,MCTS,22,98,38
DNN_vs_MCTS,336,MCTS,37,80,38
