matchup,seed,winner,points_DNN,points_Heuristico,turns
DNN_vs_Heuristico,336,Heuristico,36,84,39
DNN_vs_Heuristico,338,Heuristico,34,74,38
DNN_vs_Heuristico,339,Heuristico,52,57,38
DNN_vs_Heuristico,340,Heuristico,59,61,39
DNN_vs_Heuristico,345,Heuristico,20,98,38
DNN_vs_Heuristico,341,DNN,63,57,39
DNN_vs_Heuristico,343,Heuristico,46,74,38
DNN_vs_Heuristico,344,Heuristico,35,75,39
DNN_vs_Heuristico,342,Heuristico,53,67,38
DNN_vs_Heuristico,346,DNN,60,53,39
DNN_vs_Heuristico,347,DNN,70,36,39
DNN_vs_Heuristico,349,Heuristico,58,62,38
DNN_vs_Heuristico,348,Heuristico,38,71,39
DNN_vs_Heuristico,350,Heuristico,22,95,38
DNN_vs_Heuristico,351,Heuristico,39,81,39
DNN_vs_Heuristico,352,Heuristico,43,75,39
DNN_vs_Heuristico,353,Heuristico,46,70,39
DNN_vs_Heuristico,356,Heuristico,19,97,39
DNN_vs_Heuristico,355,DNN,79,39,38
DNN_vs_Heuristico,358,Heuristico,23,87,39
DNN_vs_Heuristico,354,Heuristico,48,61,39
DNN_vs_Heuristico,357,Heuristico,49,71,38
DNN_vs_Heuristico,359,Heuristico,39,81,38
DNN_vs_Heuristico,360,Heuristico,24,96,38
DNN_vs_Heuristico,361,Heuristico,25,89,39
DNN_vs_Heuristico,366,Heuristico,38,72,39
DNN_vs_Heuristico,363,Heuristico,60,60,39
DNN_vs_Heuristico,367,Heuristico,23,86,39
DNN_vs_Heuristico,362,Heuristico,10,110,39
DNN_vs_Heuristico,364,DNN,63,57,39
DNN_vs_Heuristico,365,Heuristico,26,90,39
DNN_vs_Heuristico,368,Heuristico,42,78,38
DNN_vs_Heuristico,369,Heuristico,39,71,38
DNN_vs_Heuristico,370,DNN,55,55,39
DNN_vs_Heuristico,372,DNN,64,53,39
DNN_vs_Heuristico,371,Heuristico,26,81,39
DNN_vs_Heuristico,373,DNN,60,58,39
DNN_vs_Heuristico,374,Heuristico,35,82,39
DNN_vs_Heuristico,375,Heuristico,36,81,39
DNN_vs_Heuristico,378,Heuristico,27,93,39
DNN_vs_Heuristico,377,Heuristico,22,98,39
DNN_vs_Heuristico,380,Heuristico,41,77,39
DNN_vs_Heuristico,376,Heuristico,42,76,39
DNN_vs_Heuristico,381,Heuristico,55,65,39
DNN_vs_Heuristico,379,DNN,65,55,39
DNN_vs_Heuristico,384,Heuristico,43,74,38
DNN_vs_Heuristico,383,Heuristico,50,67,39
DNN_vs_Heuristico,382,Heuristico,49,71,39
DNN_vs_Heuristico,385,Heuristico,21,99,39
